consumo_kwh,uso_horario_pico,quantidade_equipamentos,tipo_imovel,horas_alto_consumo,categoria,consumo_por_equipamento,intensidade_consumo,equipamentos_por_hora,uso_horario_pico_num
555,False,8,Apartamento,10,Ineficiente,69.375,55.5,0.8,0
269,False,14,Apartamento,11,Moderado,19.214285714285715,24.454545454545453,1.2727272727272727,0
642,True,13,Casa,2,Ineficiente,49.38461538461539,321.0,6.5,1
646,True,11,Casa,7,Ineficiente,58.72727272727273,92.28571428571428,1.5714285714285714,1
323,False,11,Comércio,5,Moderado,29.363636363636363,64.6,2.2,0
584,False,12,Casa,11,Ineficiente,48.66666666666666,53.09090909090909,1.0909090909090908,0
210,True,5,Comércio,6,Eficiente,42.0,35.0,0.8333333333333334,1
564,False,5,Casa,3,Moderado,112.8,188.0,1.6666666666666667,0
100,True,6,Casa,11,Moderado,16.666666666666668,9.090909090909092,0.5454545454545454,1
246,False,14,Apartamento,10,Moderado,17.571428571428573,24.6,1.4,0
353,True,9,Casa,7,Moderado,39.22222222222222,50.42857142857143,1.2857142857142858,1
467,True,5,Apartamento,7,Ineficiente,93.4,66.71428571428571,0.7142857142857143,1
680,True,12,Apartamento,2,Ineficiente,56.66666666666666,340.0,6.0,1
395,True,10,Casa,1,Moderado,39.5,395.0,10.0,1
93,True,13,Casa,10,Moderado,7.153846153846154,9.3,1.3,1
321,True,10,Casa,2,Moderado,32.1,160.5,5.0,1
425,True,8,Casa,8,Moderado,53.125,53.125,1.0,1
644,False,6,Apartamento,11,Ineficiente,107.33333333333331,58.54545454545455,0.5454545454545454,0
419,False,13,Casa,10,Moderado,32.23076923076923,41.9,1.3,0
171,True,14,Casa,3,Moderado,12.214285714285714,57.0,4.666666666666667,1
446,False,13,Apartamento,11,Moderado,34.30769230769231,40.54545454545455,1.181818181818182,0
534,True,7,Casa,4,Ineficiente,76.28571428571429,133.5,1.75,1
507,False,14,Casa,8,Ineficiente,36.21428571428572,63.375,1.75,0
588,False,4,Casa,3,Moderado,147.0,196.0,1.3333333333333333,0
114,True,15,Comércio,6,Moderado,7.6,19.0,2.5,1
285,True,8,Comércio,2,Eficiente,35.625,142.5,4.0,1
160,True,5,Apartamento,3,Eficiente,32.0,53.333333333333336,1.6666666666666667,1
641,True,17,Casa,1,Ineficiente,37.70588235294117,641.0,17.0,1
467,False,8,Casa,9,Ineficiente,58.375,51.888888888888886,0.8888888888888888,0
81,True,14,Apartamento,4,Moderado,5.785714285714286,20.25,3.5,1
469,True,7,Apartamento,6,Ineficiente,67.0,78.16666666666667,1.1666666666666667,1
645,True,16,Comércio,7,Ineficiente,40.3125,92.14285714285714,2.2857142857142856,1
185,True,4,Casa,2,Eficiente,46.25,92.5,2.0,1
556,True,17,Casa,8,Ineficiente,32.705882352941174,69.5,2.125,1
481,True,14,Apartamento,9,Ineficiente,34.357142857142854,53.44444444444444,1.5555555555555556,1
635,False,15,Apartamento,10,Ineficiente,42.333333333333336,63.5,1.5,0
241,True,16,Apartamento,11,Moderado,15.0625,21.90909090909091,1.4545454545454546,1
281,True,7,Apartamento,2,Eficiente,40.142857142857146,140.5,3.5,1
349,False,7,Comércio,5,Eficiente,49.85714285714285,69.8,1.4,0
350,True,16,Apartamento,2,Moderado,21.875,175.0,8.0,1
535,False,11,Comércio,11,Ineficiente,48.63636363636363,48.63636363636363,1.0,0
541,False,13,Comércio,5,Ineficiente,41.61538461538461,108.2,2.6,0
331,True,10,Apartamento,7,Moderado,33.1,47.285714285714285,1.4285714285714286,1
375,True,14,Casa,6,Moderado,26.785714285714285,62.5,2.333333333333333,1
417,True,14,Casa,4,Moderado,29.785714285714285,104.25,3.5,1
132,True,9,Apartamento,2,Eficiente,14.666666666666666,66.0,4.5,1
296,True,17,Apartamento,7,Moderado,17.41176470588235,42.285714285714285,2.4285714285714284,1
267,True,17,Comércio,10,Ineficiente,15.705882352941176,26.7,1.7,1
459,True,14,Casa,9,Ineficiente,32.785714285714285,51.0,1.5555555555555556,1
572,True,15,Casa,1,Ineficiente,38.13333333333333,572.0,15.0,1
120,False,17,Apartamento,3,Eficiente,7.0588235294117645,40.0,5.666666666666667,0
236,False,16,Casa,7,Moderado,14.75,33.714285714285715,2.2857142857142856,0
94,True,5,Casa,9,Moderado,18.8,10.444444444444445,0.5555555555555556,1
144,True,12,Casa,5,Moderado,12.0,28.8,2.4,1
600,False,6,Apartamento,7,Ineficiente,100.0,85.71428571428571,0.8571428571428571,0
423,False,8,Casa,10,Moderado,52.875,42.3,0.8,0
208,False,5,Comércio,7,Eficiente,41.6,29.714285714285715,0.7142857142857143,0
551,True,13,Casa,4,Ineficiente,42.38461538461539,137.75,3.25,1
142,False,11,Comércio,5,Eficiente,12.909090909090908,28.4,2.2,0
218,True,10,Apartamento,2,Eficiente,21.8,109.0,5.0,1
578,True,8,Casa,8,Ineficiente,72.25,72.25,1.0,1
672,True,6,Casa,1,Ineficiente,112.0,672.0,6.0,1
471,True,9,Casa,2,Ineficiente,52.333333333333336,235.5,4.5,1
498,True,15,Apartamento,3,Ineficiente,33.2,166.0,5.0,1
368,True,17,Casa,7,Ineficiente,21.647058823529413,52.57142857142857,2.4285714285714284,1
458,False,13,Casa,6,Ineficiente,35.23076923076923,76.33333333333333,2.1666666666666665,0
569,False,5,Apartamento,7,Ineficiente,113.8,81.28571428571429,0.7142857142857143,0
310,True,12,Casa,11,Ineficiente,25.83333333333333,28.181818181818183,1.0909090909090908,1
120,True,17,Casa,5,Moderado,7.0588235294117645,24.0,3.4,1
107,True,10,Apartamento,4,Eficiente,10.7,26.75,2.5,1
214,False,3,Comércio,7,Eficiente,71.33333333333333,30.571428571428573,0.4285714285714285,0
280,True,5,Casa,3,Eficiente,56.0,93.33333333333331,1.6666666666666667,1
112,False,13,Casa,10,Moderado,8.615384615384615,11.2,1.3,0
127,True,7,Comércio,7,Moderado,18.142857142857142,18.142857142857142,1.0,1
582,True,7,Casa,2,Ineficiente,83.14285714285714,291.0,3.5,1
486,False,12,Comércio,8,Ineficiente,40.5,60.75,1.5,0
653,False,16,Casa,6,Ineficiente,40.8125,108.83333333333331,2.6666666666666665,0
178,True,4,Comércio,3,Eficiente,44.5,59.333333333333336,1.3333333333333333,1
626,True,12,Casa,3,Ineficiente,52.16666666666666,208.66666666666663,4.0,1
692,False,10,Comércio,5,Moderado,69.2,138.4,2.0,0
541,True,7,Casa,3,Ineficiente,77.28571428571429,180.33333333333331,2.333333333333333,1
84,False,9,Apartamento,6,Eficiente,9.333333333333334,14.0,1.5,0
297,True,17,Casa,2,Moderado,17.470588235294116,148.5,8.5,1
582,False,9,Casa,8,Ineficiente,64.66666666666667,72.75,1.125,0
477,False,16,Apartamento,11,Ineficiente,29.8125,43.36363636363637,1.4545454545454546,0
472,True,7,Apartamento,11,Ineficiente,67.42857142857143,42.90909090909091,0.6363636363636364,1
286,False,10,Comércio,9,Eficiente,28.6,31.77777777777778,1.1111111111111112,0
94,True,11,Casa,7,Moderado,8.545454545454545,13.428571428571429,1.5714285714285714,1
633,True,6,Comércio,3,Ineficiente,105.5,211.0,2.0,1
540,False,6,Casa,11,Ineficiente,90.0,49.09090909090909,0.5454545454545454,0
654,True,10,Comércio,10,Ineficiente,65.4,65.4,1.0,1
320,False,3,Comércio,4,Eficiente,106.66666666666669,80.0,0.75,0
643,True,17,Casa,10,Ineficiente,37.8235294117647,64.3,1.7,1
175,True,6,Comércio,2,Eficiente,29.166666666666668,87.5,3.0,1
564,True,8,Apartamento,9,Ineficiente,70.5,62.66666666666666,0.8888888888888888,1
486,True,15,Casa,5,Ineficiente,32.4,97.2,3.0,1
310,True,6,Apartamento,2,Moderado,51.66666666666666,155.0,3.0,1
250,False,8,Casa,10,Eficiente,31.25,25.0,0.8,0
620,False,7,Apartamento,6,Moderado,88.57142857142857,103.33333333333331,1.1666666666666667,0
115,False,16,Casa,7,Moderado,7.1875,16.428571428571427,2.2857142857142856,0
604,True,11,Casa,2,Ineficiente,54.90909090909091,302.0,5.5,1
239,True,12,Casa,1,Moderado,19.916666666666668,239.0,12.0,1
322,True,11,Apartamento,7,Ineficiente,29.272727272727277,46.0,1.5714285714285714,1
165,True,6,Comércio,1,Eficiente,27.5,165.0,6.0,1
657,True,15,Comércio,3,Ineficiente,43.8,219.0,5.0,1
636,True,16,Casa,4,Ineficiente,39.75,159.0,4.0,1
653,True,6,Casa,2,Ineficiente,108.83333333333331,326.5,3.0,1
107,False,14,Apartamento,7,Moderado,7.642857142857143,15.285714285714286,2.0,0
699,True,10,Apartamento,5,Ineficiente,69.9,139.8,2.0,1
635,True,12,Casa,1,Ineficiente,52.91666666666666,635.0,12.0,1
419,True,17,Casa,8,Ineficiente,24.647058823529413,52.375,2.125,1
410,True,6,Apartamento,10,Moderado,68.33333333333333,41.0,0.6,1
585,False,4,Casa,7,Ineficiente,146.25,83.57142857142857,0.5714285714285714,0
427,True,15,Apartamento,4,Moderado,28.466666666666665,106.75,3.75,1
552,True,15,Apartamento,2,Ineficiente,36.8,276.0,7.5,1
310,True,16,Comércio,7,Ineficiente,19.375,44.285714285714285,2.2857142857142856,1
269,True,17,Apartamento,11,Moderado,15.823529411764708,24.454545454545453,1.5454545454545454,1
304,True,4,Casa,2,Moderado,76.0,152.0,2.0,1
464,False,3,Comércio,6,Moderado,154.66666666666666,77.33333333333333,0.5,0
456,False,7,Apartamento,1,Moderado,65.14285714285714,456.0,7.0,0
362,False,17,Casa,7,Moderado,21.294117647058822,51.71428571428572,2.4285714285714284,0
338,True,8,Apartamento,7,Moderado,42.25,48.285714285714285,1.1428571428571428,1
438,False,11,Casa,4,Moderado,39.81818181818182,109.5,2.75,0
535,True,7,Apartamento,4,Ineficiente,76.42857142857143,133.75,1.75,1
490,True,15,Apartamento,10,Ineficiente,32.666666666666664,49.0,1.5,1
397,False,8,Apartamento,5,Eficiente,49.625,79.4,1.6,0
304,True,8,Casa,2,Moderado,38.0,152.0,4.0,1
313,True,5,Casa,9,Moderado,62.6,34.77777777777778,0.5555555555555556,1
453,False,14,Comércio,10,Ineficiente,32.357142857142854,45.3,1.4,0
687,True,6,Apartamento,4,Ineficiente,114.5,171.75,1.5,1
551,False,3,Casa,11,Ineficiente,183.66666666666663,50.09090909090909,0.2727272727272727,0
312,True,6,Casa,9,Moderado,52.0,34.666666666666664,0.6666666666666666,1
192,False,3,Casa,3,Eficiente,64.0,64.0,1.0,0
576,False,17,Apartamento,9,Ineficiente,33.88235294117647,64.0,1.8888888888888888,0
521,False,7,Apartamento,1,Moderado,74.42857142857143,521.0,7.0,0
643,True,13,Apartamento,7,Ineficiente,49.46153846153846,91.85714285714286,1.8571428571428568,1
347,True,13,Apartamento,4,Moderado,26.692307692307693,86.75,3.25,1
589,True,10,Apartamento,7,Ineficiente,58.9,84.14285714285714,1.4285714285714286,1
465,True,10,Casa,10,Ineficiente,46.5,46.5,1.0,1
466,True,7,Casa,6,Ineficiente,66.57142857142857,77.66666666666667,1.1666666666666667,1
192,False,16,Apartamento,4,Eficiente,12.0,48.0,4.0,0
692,True,12,Comércio,4,Ineficiente,57.66666666666666,173.0,3.0,1
160,False,4,Apartamento,8,Eficiente,40.0,20.0,0.5,0
192,True,14,Apartamento,7,Moderado,13.714285714285714,27.428571428571427,2.0,1
81,True,8,Apartamento,4,Eficiente,10.125,20.25,2.0,1
299,True,3,Comércio,11,Moderado,99.66666666666669,27.181818181818183,0.2727272727272727,1
645,False,9,Casa,6,Moderado,71.66666666666667,107.5,1.5,0
304,False,13,Casa,6,Moderado,23.384615384615383,50.66666666666666,2.1666666666666665,0
464,False,6,Comércio,1,Moderado,77.33333333333333,464.0,6.0,0
482,False,7,Comércio,2,Moderado,68.85714285714286,241.0,3.5,0
209,True,8,Casa,4,Eficiente,26.125,52.25,2.0,1
132,True,13,Apartamento,6,Moderado,10.153846153846152,22.0,2.1666666666666665,1
495,True,3,Casa,6,Ineficiente,165.0,82.5,0.5,1
326,False,11,Casa,1,Moderado,29.63636363636364,326.0,11.0,0
518,True,12,Comércio,8,Ineficiente,43.16666666666666,64.75,1.5,1
282,True,6,Casa,2,Eficiente,47.0,141.0,3.0,1
263,False,10,Comércio,5,Eficiente,26.3,52.6,2.0,0
202,False,7,Casa,4,Eficiente,28.857142857142858,50.5,1.75,0
480,False,13,Apartamento,5,Ineficiente,36.92307692307692,96.0,2.6,0
373,False,10,Casa,5,Eficiente,37.3,74.6,2.0,0
359,False,17,Apartamento,10,Moderado,21.11764705882353,35.9,1.7,0
689,True,3,Apartamento,8,Ineficiente,229.66666666666663,86.125,0.375,1
277,True,10,Apartamento,10,Moderado,27.7,27.7,1.0,1
590,False,13,Casa,7,Ineficiente,45.38461538461539,84.28571428571429,1.8571428571428568,0
223,False,15,Casa,9,Moderado,14.866666666666667,24.77777777777778,1.6666666666666667,0
688,True,13,Casa,11,Ineficiente,52.92307692307692,62.54545454545455,1.181818181818182,1
280,False,6,Casa,1,Eficiente,46.66666666666666,280.0,6.0,0
203,True,4,Apartamento,6,Eficiente,50.75,33.833333333333336,0.6666666666666666,1
266,True,13,Apartamento,6,Moderado,20.46153846153846,44.333333333333336,2.1666666666666665,1
405,False,8,Apartamento,2,Eficiente,50.625,202.5,4.0,0
543,True,4,Apartamento,11,Ineficiente,135.75,49.36363636363637,0.3636363636363636,1
428,True,7,Casa,8,Moderado,61.142857142857146,53.5,0.875,1
482,True,4,Casa,6,Ineficiente,120.5,80.33333333333333,0.6666666666666666,1
425,False,5,Casa,11,Moderado,85.0,38.63636363636363,0.4545454545454545,0
590,True,13,Apartamento,10,Ineficiente,45.38461538461539,59.0,1.3,1
226,False,8,Apartamento,9,Eficiente,28.25,25.11111111111111,0.8888888888888888,0
227,False,3,Casa,10,Eficiente,75.66666666666667,22.7,0.3,0
568,True,8,Casa,5,Ineficiente,71.0,113.6,1.6,1
630,False,5,Comércio,7,Ineficiente,126.0,90.0,0.7142857142857143,0
417,True,9,Apartamento,6,Moderado,46.333333333333336,69.5,1.5,1
552,False,4,Apartamento,11,Ineficiente,138.0,50.18181818181818,0.3636363636363636,0
230,True,16,Casa,5,Moderado,14.375,46.0,3.2,1
494,False,8,Casa,6,Moderado,61.75,82.33333333333333,1.3333333333333333,0
377,True,10,Comércio,4,Moderado,37.7,94.25,2.5,1
690,True,17,Apartamento,3,Ineficiente,40.588235294117645,230.0,5.666666666666667,1
342,True,17,Casa,1,Moderado,20.11764705882353,342.0,17.0,1
223,True,17,Apartamento,1,Moderado,13.117647058823527,223.0,17.0,1
425,False,3,Apartamento,6,Eficiente,141.66666666666666,70.83333333333333,0.5,0
651,True,13,Casa,9,Ineficiente,50.07692307692308,72.33333333333333,1.4444444444444444,1
81,False,13,Casa,8,Moderado,6.230769230769231,10.125,1.625,0
383,True,15,Casa,2,Moderado,25.53333333333333,191.5,7.5,1
333,True,11,Casa,9,Ineficiente,30.272727272727277,37.0,1.2222222222222223,1
532,False,7,Apartamento,8,Ineficiente,76.0,66.5,0.875,0
116,True,7,Casa,9,Moderado,16.571428571428573,12.88888888888889,0.7777777777777778,1
239,False,15,Apartamento,4,Eficiente,15.933333333333334,59.75,3.75,0
88,False,14,Comércio,9,Moderado,6.285714285714286,9.77777777777778,1.5555555555555556,0
312,False,7,Casa,2,Eficiente,44.57142857142857,156.0,3.5,0
178,True,8,Apartamento,1,Eficiente,22.25,178.0,8.0,1
287,False,4,Apartamento,9,Eficiente,71.75,31.88888888888889,0.4444444444444444,0
210,False,8,Apartamento,10,Eficiente,26.25,21.0,0.8,0
483,False,16,Apartamento,8,Ineficiente,30.1875,60.375,2.0,0
231,True,13,Casa,7,Moderado,17.76923076923077,33.0,1.8571428571428568,1
133,False,6,Apartamento,8,Eficiente,22.166666666666668,16.625,0.75,0
199,False,10,Apartamento,1,Eficiente,19.9,199.0,10.0,0
666,False,15,Comércio,9,Ineficiente,44.4,74.0,1.6666666666666667,0
499,True,13,Casa,10,Ineficiente,38.38461538461539,49.9,1.3,1
501,True,11,Comércio,11,Ineficiente,45.54545454545455,45.54545454545455,1.0,1
183,False,11,Casa,9,Moderado,16.636363636363637,20.33333333333333,1.2222222222222223,0
333,True,10,Comércio,11,Ineficiente,33.3,30.272727272727277,0.9090909090909092,1
306,False,5,Apartamento,9,Moderado,61.2,34.0,0.5555555555555556,0
191,True,12,Apartamento,6,Moderado,15.916666666666666,31.83333333333333,2.0,1
589,True,13,Apartamento,4,Ineficiente,45.30769230769231,147.25,3.25,1
552,True,13,Casa,2,Ineficiente,42.46153846153846,276.0,6.5,1
178,True,6,Casa,11,Moderado,29.666666666666668,16.181818181818183,0.5454545454545454,1
232,False,3,Casa,4,Eficiente,77.33333333333333,58.0,0.75,0
417,False,11,Casa,7,Moderado,37.90909090909091,59.57142857142857,1.5714285714285714,0
242,False,7,Casa,1,Eficiente,34.57142857142857,242.0,7.0,0
240,True,8,Apartamento,9,Moderado,30.0,26.666666666666668,0.8888888888888888,1
659,False,5,Apartamento,3,Moderado,131.8,219.66666666666663,1.6666666666666667,0
477,False,13,Casa,4,Ineficiente,36.69230769230769,119.25,3.25,0
356,False,12,Comércio,5,Moderado,29.666666666666668,71.2,2.4,0
583,True,10,Apartamento,3,Ineficiente,58.3,194.33333333333331,3.333333333333333,1
471,False,17,Comércio,4,Ineficiente,27.705882352941178,117.75,4.25,0
214,False,9,Apartamento,5,Eficiente,23.77777777777778,42.8,1.8,0
274,False,3,Casa,1,Eficiente,91.33333333333331,274.0,3.0,0
480,True,12,Apartamento,9,Ineficiente,40.0,53.333333333333336,1.3333333333333333,1
112,False,14,Apartamento,10,Moderado,8.0,11.2,1.4,0
539,False,7,Casa,10,Ineficiente,77.0,53.9,0.7,0
549,True,12,Casa,4,Ineficiente,45.75,137.25,3.0,1
454,True,11,Casa,9,Ineficiente,41.27272727272727,50.44444444444444,1.2222222222222223,1
101,True,14,Casa,4,Moderado,7.214285714285714,25.25,3.5,1
117,True,13,Casa,1,Moderado,9.0,117.0,13.0,1
309,True,14,Apartamento,5,Moderado,22.071428571428573,61.8,2.8,1
444,False,8,Casa,9,Moderado,55.5,49.333333333333336,0.8888888888888888,0
642,False,10,Apartamento,3,Moderado,64.2,214.0,3.333333333333333,0
517,False,12,Apartamento,5,Ineficiente,43.083333333333336,103.4,2.4,0
362,False,3,Casa,3,Eficiente,120.66666666666669,120.66666666666669,1.0,0
106,True,12,Casa,3,Moderado,8.833333333333334,35.333333333333336,4.0,1
305,True,13,Casa,1,Moderado,23.46153846153846,305.0,13.0,1
356,False,9,Casa,2,Eficiente,39.55555555555556,178.0,4.5,0
688,True,5,Casa,2,Ineficiente,137.6,344.0,2.5,1
363,True,11,Casa,9,Ineficiente,33.0,40.333333333333336,1.2222222222222223,1
560,True,8,Apartamento,7,Ineficiente,70.0,80.0,1.1428571428571428,1
532,True,7,Apartamento,8,Ineficiente,76.0,66.5,0.875,1
595,False,10,Casa,2,Moderado,59.5,297.5,5.0,0
626,True,10,Casa,9,Ineficiente,62.6,69.55555555555556,1.1111111111111112,1
271,True,14,Apartamento,3,Moderado,19.357142857142858,90.33333333333331,4.666666666666667,1
128,True,14,Comércio,10,Ineficiente,9.142857142857142,12.8,1.4,1
591,False,5,Apartamento,2,Moderado,118.2,295.5,2.5,0
96,True,4,Apartamento,1,Eficiente,24.0,96.0,4.0,1
251,False,17,Casa,9,Moderado,14.764705882352942,27.88888888888889,1.8888888888888888,0
299,True,4,Casa,8,Moderado,74.75,37.375,0.5,1
237,True,16,Comércio,11,Ineficiente,14.8125,21.545454545454547,1.4545454545454546,1
556,True,7,Casa,4,Ineficiente,79.42857142857143,139.0,1.75,1
125,True,12,Comércio,7,Ineficiente,10.416666666666666,17.857142857142858,1.7142857142857142,1
452,True,14,Apartamento,3,Ineficiente,32.285714285714285,150.66666666666666,4.666666666666667,1
597,True,9,Apartamento,3,Ineficiente,66.33333333333333,199.0,3.0,1
178,False,10,Casa,4,Eficiente,17.8,44.5,2.5,0
116,True,12,Apartamento,2,Moderado,9.666666666666666,58.0,6.0,1
359,False,17,Apartamento,10,Moderado,21.11764705882353,35.9,1.7,0
428,True,10,Casa,4,Moderado,42.8,107.0,2.5,1
576,True,15,Casa,10,Ineficiente,38.4,57.6,1.5,1
381,True,14,Comércio,3,Ineficiente,27.214285714285715,127.0,4.666666666666667,1
260,False,10,Apartamento,8,Eficiente,26.0,32.5,1.25,0
686,True,17,Casa,11,Ineficiente,40.35294117647059,62.36363636363637,1.5454545454545454,1
178,True,12,Casa,2,Moderado,14.833333333333334,89.0,6.0,1
195,True,14,Apartamento,11,Moderado,13.928571428571429,17.727272727272727,1.2727272727272727,1
270,True,13,Apartamento,9,Moderado,20.76923076923077,30.0,1.4444444444444444,1
332,True,5,Apartamento,3,Moderado,66.4,110.66666666666669,1.6666666666666667,1
240,False,16,Apartamento,4,Eficiente,15.0,60.0,4.0,0
335,True,13,Casa,10,Ineficiente,25.76923076923077,33.5,1.3,1
402,True,4,Apartamento,10,Moderado,100.5,40.2,0.4,1
207,False,15,Casa,3,Eficiente,13.8,69.0,5.0,0
97,True,6,Comércio,3,Eficiente,16.166666666666668,32.333333333333336,2.0,1
645,True,17,Apartamento,8,Ineficiente,37.94117647058823,80.625,2.125,1
649,True,3,Casa,8,Ineficiente,216.33333333333331,81.125,0.375,1
402,False,5,Casa,6,Eficiente,80.4,67.0,0.8333333333333334,0
367,True,13,Apartamento,4,Moderado,28.23076923076923,91.75,3.25,1
234,True,11,Casa,1,Moderado,21.272727272727277,234.0,11.0,1
569,True,9,Casa,4,Ineficiente,63.22222222222222,142.25,2.25,1
465,False,9,Apartamento,8,Ineficiente,51.66666666666666,58.125,1.125,0
183,True,3,Casa,6,Eficiente,61.0,30.5,0.5,1
472,False,9,Apartamento,2,Moderado,52.44444444444444,236.0,4.5,0
325,False,12,Casa,3,Moderado,27.08333333333333,108.33333333333331,4.0,0
255,False,9,Apartamento,7,Eficiente,28.33333333333333,36.42857142857143,1.2857142857142858,0
118,True,6,Casa,11,Moderado,19.666666666666668,10.727272727272728,0.5454545454545454,1
556,True,9,Casa,11,Ineficiente,61.77777777777778,50.54545454545455,0.8181818181818182,1
617,True,10,Comércio,4,Ineficiente,61.7,154.25,2.5,1
487,True,5,Apartamento,4,Ineficiente,97.4,121.75,1.25,1
604,True,15,Casa,5,Ineficiente,40.266666666666666,120.8,3.0,1
585,False,12,Casa,8,Ineficiente,48.75,73.125,1.5,0
115,True,4,Apartamento,7,Moderado,28.75,16.428571428571427,0.5714285714285714,1
99,True,9,Apartamento,9,Moderado,11.0,11.0,1.0,1
400,False,7,Comércio,5,Eficiente,57.142857142857146,80.0,1.4,0
591,False,7,Comércio,1,Moderado,84.42857142857143,591.0,7.0,0
479,True,16,Apartamento,4,Ineficiente,29.9375,119.75,4.0,1
550,False,7,Casa,6,Moderado,78.57142857142857,91.66666666666669,1.1666666666666667,0
222,True,17,Apartamento,6,Moderado,13.058823529411764,37.0,2.833333333333333,1
171,False,9,Apartamento,9,Eficiente,19.0,19.0,1.0,0
433,False,11,Casa,10,Moderado,39.36363636363637,43.3,1.1,0
130,False,13,Casa,5,Eficiente,10.0,26.0,2.6,0
654,False,10,Casa,5,Moderado,65.4,130.8,2.0,0
269,True,8,Casa,6,Eficiente,33.625,44.833333333333336,1.3333333333333333,1
204,True,9,Casa,11,Moderado,22.666666666666668,18.545454545454547,0.8181818181818182,1
229,False,11,Apartamento,6,Eficiente,20.818181818181817,38.16666666666666,1.8333333333333333,0
393,True,16,Apartamento,3,Moderado,24.5625,131.0,5.333333333333333,1
649,False,13,Apartamento,6,Ineficiente,49.92307692307692,108.16666666666669,2.1666666666666665,0
421,True,8,Casa,8,Moderado,52.625,52.625,1.0,1
384,True,3,Casa,6,Moderado,128.0,64.0,0.5,1
133,True,6,Apartamento,11,Moderado,22.166666666666668,12.090909090909092,0.5454545454545454,1
523,True,10,Casa,5,Ineficiente,52.3,104.6,2.0,1
692,False,9,Apartamento,3,Moderado,76.88888888888889,230.66666666666663,3.0,0
343,False,5,Comércio,1,Eficiente,68.6,343.0,5.0,0
132,False,12,Casa,5,Eficiente,11.0,26.4,2.4,0
651,False,5,Casa,6,Moderado,130.2,108.5,0.8333333333333334,0
699,False,13,Apartamento,6,Ineficiente,53.76923076923077,116.5,2.1666666666666665,0
84,False,5,Comércio,6,Eficiente,16.8,14.0,0.8333333333333334,0
182,True,14,Apartamento,3,Moderado,13.0,60.66666666666666,4.666666666666667,1
275,False,17,Comércio,4,Eficiente,16.176470588235293,68.75,4.25,0
429,True,3,Casa,3,Moderado,143.0,143.0,1.0,1
126,True,17,Comércio,2,Moderado,7.411764705882353,63.0,8.5,1
348,False,12,Casa,8,Moderado,29.0,43.5,1.5,0
449,True,3,Casa,7,Moderado,149.66666666666666,64.14285714285714,0.4285714285714285,1
185,True,8,Comércio,11,Moderado,23.125,16.818181818181817,0.7272727272727273,1
199,True,16,Comércio,8,Ineficiente,12.4375,24.875,2.0,1
683,True,16,Casa,6,Ineficiente,42.6875,113.83333333333331,2.6666666666666665,1
137,False,3,Casa,11,Eficiente,45.66666666666666,12.454545454545457,0.2727272727272727,0
425,True,7,Casa,7,Moderado,60.71428571428572,60.71428571428572,1.0,1
