consumo_kwh,uso_horario_pico,quantidade_equipamentos,tipo_imovel,horas_alto_consumo,categoria
582,True,7,Casa,2,Ineficiente
486,False,12,Comércio,8,Ineficiente
653,False,16,Casa,6,Ineficiente
178,True,4,Comércio,3,Eficiente
626,True,12,Casa,3,Ineficiente
692,False,10,Comércio,5,Moderado
541,True,7,Casa,3,Ineficiente
84,False,9,Apartamento,6,Eficiente
297,True,17,Casa,2,Moderado
582,False,9,Casa,8,Ineficiente
477,False,16,Apartamento,11,Ineficiente
472,True,7,Apartamento,11,Ineficiente
286,False,10,Comércio,9,Eficiente
94,True,11,Casa,7,Moderado
633,True,6,Comércio,3,Ineficiente
540,False,6,Casa,11,Ineficiente
654,True,10,Comércio,10,Ineficiente
320,False,3,Comércio,4,Eficiente
643,True,17,Casa,10,Ineficiente
175,True,6,Comércio,2,Eficiente
564,True,8,Apartamento,9,Ineficiente
486,True,15,Casa,5,Ineficiente
310,True,6,Apartamento,2,Moderado
250,False,8,Casa,10,Eficiente
620,False,7,Apartamento,6,Moderado
115,False,16,Casa,7,Moderado
604,True,11,Casa,2,Ineficiente
239,True,12,Casa,1,Moderado
322,True,11,Apartamento,7,Ineficiente
165,True,6,Comércio,1,Eficiente
657,True,15,Comércio,3,Ineficiente
636,True,16,Casa,4,Ineficiente
653,True,6,Casa,2,Ineficiente
107,False,14,Apartamento,7,Moderado
699,True,10,Apartamento,5,Ineficiente
635,True,12,Casa,1,Ineficiente
419,True,17,Casa,8,Ineficiente
410,True,6,Apartamento,10,Moderado
585,False,4,Casa,7,Ineficiente
427,True,15,Apartamento,4,Moderado
552,True,15,Apartamento,2,Ineficiente
310,True,16,Comércio,7,Ineficiente
269,True,17,Apartamento,11,Moderado
304,True,4,Casa,2,Moderado
464,False,3,Comércio,6,Moderado
456,False,7,Apartamento,1,Moderado
362,False,17,Casa,7,Moderado
338,True,8,Apartamento,7,Moderado
438,False,11,Casa,4,Moderado
535,True,7,Apartamento,4,Ineficiente
490,True,15,Apartamento,10,Ineficiente
397,False,8,Apartamento,5,Eficiente
304,True,8,Casa,2,Moderado
313,True,5,Casa,9,Moderado
453,False,14,Comércio,10,Ineficiente
687,True,6,Apartamento,4,Ineficiente
551,False,3,Casa,11,Ineficiente
312,True,6,Casa,9,Moderado
192,False,3,Casa,3,Eficiente
576,False,17,Apartamento,9,Ineficiente
521,False,7,Apartamento,1,Moderado
643,True,13,Apartamento,7,Ineficiente
347,True,13,Apartamento,4,Moderado
589,True,10,Apartamento,7,Ineficiente
465,True,10,Casa,10,Ineficiente
466,True,7,Casa,6,Ineficiente
192,False,16,Apartamento,4,Eficiente
692,True,12,Comércio,4,Ineficiente
160,False,4,Apartamento,8,Eficiente
192,True,14,Apartamento,7,Moderado
81,True,8,Apartamento,4,Eficiente
299,True,3,Comércio,11,Moderado
645,False,9,Casa,6,Moderado
304,False,13,Casa,6,Moderado
464,False,6,Comércio,1,Moderado
482,False,7,Comércio,2,Moderado
209,True,8,Casa,4,Eficiente
132,True,13,Apartamento,6,Moderado
495,True,3,Casa,6,Ineficiente
326,False,11,Casa,1,Moderado
518,True,12,Comércio,8,Ineficiente
282,True,6,Casa,2,Eficiente
263,False,10,Comércio,5,Eficiente
202,False,7,Casa,4,Eficiente
480,False,13,Apartamento,5,Ineficiente
373,False,10,Casa,5,Eficiente
359,False,17,Apartamento,10,Moderado
689,True,3,Apartamento,8,Ineficiente
277,True,10,Apartamento,10,Moderado
590,False,13,Casa,7,Ineficiente
223,False,15,Casa,9,Moderado
688,True,13,Casa,11,Ineficiente
280,False,6,Casa,1,Eficiente
203,True,4,Apartamento,6,Eficiente
266,True,13,Apartamento,6,Moderado
405,False,8,Apartamento,2,Eficiente
543,True,4,Apartamento,11,Ineficiente
428,True,7,Casa,8,Moderado
482,True,4,Casa,6,Ineficiente
425,False,5,Casa,11,Moderado
590,True,13,Apartamento,10,Ineficiente
226,False,8,Apartamento,9,Eficiente
227,False,3,Casa,10,Eficiente
568,True,8,Casa,5,Ineficiente
630,False,5,Comércio,7,Ineficiente
417,True,9,Apartamento,6,Moderado
552,False,4,Apartamento,11,Ineficiente
230,True,16,Casa,5,Moderado
494,False,8,Casa,6,Moderado
377,True,10,Comércio,4,Moderado
690,True,17,Apartamento,3,Ineficiente
342,True,17,Casa,1,Moderado
223,True,17,Apartamento,1,Moderado
425,False,3,Apartamento,6,Eficiente
651,True,13,Casa,9,Ineficiente
81,False,13,Casa,8,Moderado
383,True,15,Casa,2,Moderado
333,True,11,Casa,9,Ineficiente
532,False,7,Apartamento,8,Ineficiente
116,True,7,Casa,9,Moderado
239,False,15,Apartamento,4,Eficiente
88,False,14,Comércio,9,Moderado
312,False,7,Casa,2,Eficiente
178,True,8,Apartamento,1,Eficiente
287,False,4,Apartamento,9,Eficiente
210,False,8,Apartamento,10,Eficiente
483,False,16,Apartamento,8,Ineficiente
231,True,13,Casa,7,Moderado
133,False,6,Apartamento,8,Eficiente
199,False,10,Apartamento,1,Eficiente
666,False,15,Comércio,9,Ineficiente
499,True,13,Casa,10,Ineficiente
501,True,11,Comércio,11,Ineficiente
183,False,11,Casa,9,Moderado
333,True,10,Comércio,11,Ineficiente
306,False,5,Apartamento,9,Moderado
191,True,12,Apartamento,6,Moderado
589,True,13,Apartamento,4,Ineficiente
552,True,13,Casa,2,Ineficiente
178,True,6,Casa,11,Moderado
232,False,3,Casa,4,Eficiente
417,False,11,Casa,7,Moderado
242,False,7,Casa,1,Eficiente
240,True,8,Apartamento,9,Moderado
659,False,5,Apartamento,3,Moderado
477,False,13,Casa,4,Ineficiente
356,False,12,Comércio,5,Moderado
583,True,10,Apartamento,3,Ineficiente
471,False,17,Comércio,4,Ineficiente
214,False,9,Apartamento,5,Eficiente
274,False,3,Casa,1,Eficiente
480,True,12,Apartamento,9,Ineficiente
112,False,14,Apartamento,10,Moderado
539,False,7,Casa,10,Ineficiente
549,True,12,Casa,4,Ineficiente
454,True,11,Casa,9,Ineficiente
101,True,14,Casa,4,Moderado
117,True,13,Casa,1,Moderado
309,True,14,Apartamento,5,Moderado
444,False,8,Casa,9,Moderado
642,False,10,Apartamento,3,Moderado
517,False,12,Apartamento,5,Ineficiente
362,False,3,Casa,3,Eficiente
106,True,12,Casa,3,Moderado
305,True,13,Casa,1,Moderado
356,False,9,Casa,2,Eficiente
688,True,5,Casa,2,Ineficiente
363,True,11,Casa,9,Ineficiente
560,True,8,Apartamento,7,Ineficiente
532,True,7,Apartamento,8,Ineficiente
595,False,10,Casa,2,Moderado
626,True,10,Casa,9,Ineficiente
271,True,14,Apartamento,3,Moderado
128,True,14,Comércio,10,Ineficiente
591,False,5,Apartamento,2,Moderado
96,True,4,Apartamento,1,Eficiente
251,False,17,Casa,9,Moderado
299,True,4,Casa,8,Moderado
237,True,16,Comércio,11,Ineficiente
556,True,7,Casa,4,Ineficiente
125,True,12,Comércio,7,Ineficiente
452,True,14,Apartamento,3,Ineficiente
597,True,9,Apartamento,3,Ineficiente
178,False,10,Casa,4,Eficiente
116,True,12,Apartamento,2,Moderado
359,False,17,Apartamento,10,Moderado
428,True,10,Casa,4,Moderado
576,True,15,Casa,10,Ineficiente
381,True,14,Comércio,3,Ineficiente
260,False,10,Apartamento,8,Eficiente
686,True,17,Casa,11,Ineficiente
178,True,12,Casa,2,Moderado
195,True,14,Apartamento,11,Moderado
270,True,13,Apartamento,9,Moderado
332,True,5,Apartamento,3,Moderado
240,False,16,Apartamento,4,Eficiente
335,True,13,Casa,10,Ineficiente
402,True,4,Apartamento,10,Moderado
207,False,15,Casa,3,Eficiente
97,True,6,Comércio,3,Eficiente
645,True,17,Apartamento,8,Ineficiente
649,True,3,Casa,8,Ineficiente
402,False,5,Casa,6,Eficiente
367,True,13,Apartamento,4,Moderado
234,True,11,Casa,1,Moderado
569,True,9,Casa,4,Ineficiente
465,False,9,Apartamento,8,Ineficiente
183,True,3,Casa,6,Eficiente
472,False,9,Apartamento,2,Moderado
325,False,12,Casa,3,Moderado
255,False,9,Apartamento,7,Eficiente
118,True,6,Casa,11,Moderado
556,True,9,Casa,11,Ineficiente
617,True,10,Comércio,4,Ineficiente
487,True,5,Apartamento,4,Ineficiente
604,True,15,Casa,5,Ineficiente
585,False,12,Casa,8,Ineficiente
115,True,4,Apartamento,7,Moderado
99,True,9,Apartamento,9,Moderado
400,False,7,Comércio,5,Eficiente
591,False,7,Comércio,1,Moderado
479,True,16,Apartamento,4,Ineficiente
550,False,7,Casa,6,Moderado
222,True,17,Apartamento,6,Moderado
171,False,9,Apartamento,9,Eficiente
433,False,11,Casa,10,Moderado
130,False,13,Casa,5,Eficiente
654,False,10,Casa,5,Moderado
269,True,8,Casa,6,Eficiente
204,True,9,Casa,11,Moderado
229,False,11,Apartamento,6,Eficiente
393,True,16,Apartamento,3,Moderado
649,False,13,Apartamento,6,Ineficiente
421,True,8,Casa,8,Moderado
384,True,3,Casa,6,Moderado
133,True,6,Apartamento,11,Moderado
523,True,10,Casa,5,Ineficiente
692,False,9,Apartamento,3,Moderado
343,False,5,Comércio,1,Eficiente
132,False,12,Casa,5,Eficiente
651,False,5,Casa,6,Moderado
699,False,13,Apartamento,6,Ineficiente
84,False,5,Comércio,6,Eficiente
182,True,14,Apartamento,3,Moderado
275,False,17,Comércio,4,Eficiente
429,True,3,Casa,3,Moderado
126,True,17,Comércio,2,Moderado
348,False,12,Casa,8,Moderado
449,True,3,Casa,7,Moderado
185,True,8,Comércio,11,Moderado
199,True,16,Comércio,8,Ineficiente
683,True,16,Casa,6,Ineficiente
137,False,3,Casa,11,Eficiente
425,True,7,Casa,7,Moderado
553,True,6,Casa,1,Ineficiente
196,True,7,Casa,10,Moderado
206,True,9,Comércio,5,Eficiente
472,False,8,Apartamento,4,Moderado
137,True,14,Apartamento,10,Moderado
592,True,11,Apartamento,3,Ineficiente
175,False,8,Apartamento,2,Eficiente
197,False,11,Apartamento,9,Moderado
639,False,6,Apartamento,8,Ineficiente
680,False,3,Casa,10,Ineficiente
567,True,3,Apartamento,2,Ineficiente
316,True,12,Apartamento,6,Moderado
351,True,9,Apartamento,3,Moderado
268,False,15,Comércio,3,Eficiente
526,True,15,Casa,5,Ineficiente
660,True,15,Apartamento,7,Ineficiente
326,True,5,Casa,7,Moderado
155,True,4,Apartamento,11,Moderado
233,True,16,Casa,10,Moderado
514,False,8,Casa,1,Moderado
165,True,8,Casa,11,Moderado
364,False,15,Apartamento,7,Moderado
299,False,9,Casa,7,Eficiente
148,True,7,Comércio,6,Eficiente
126,True,10,Casa,6,Eficiente
173,True,9,Comércio,2,Eficiente
532,True,4,Apartamento,3,Ineficiente
283,False,17,Casa,3,Eficiente
297,True,3,Casa,3,Eficiente
553,True,15,Apartamento,2,Ineficiente
511,True,16,Apartamento,9,Ineficiente
420,False,11,Apartamento,6,Moderado
630,False,7,Casa,2,Moderado
691,False,14,Apartamento,3,Ineficiente
368,False,13,Comércio,10,Ineficiente
333,True,7,Casa,6,Moderado
436,False,14,Casa,4,Moderado
102,True,12,Casa,7,Moderado
601,False,6,Apartamento,6,Moderado
179,False,4,Apartamento,6,Eficiente
259,True,7,Casa,3,Eficiente
302,False,4,Casa,11,Moderado
521,False,14,Casa,8,Ineficiente
687,True,9,Casa,9,Ineficiente
404,False,13,Casa,6,Moderado
595,True,11,Comércio,2,Ineficiente
95,False,11,Apartamento,1,Eficiente
415,True,13,Casa,3,Moderado
337,True,8,Comércio,3,Moderado
576,False,3,Apartamento,8,Ineficiente
239,False,15,Apartamento,5,Eficiente
554,False,8,Casa,1,Moderado
459,True,7,Casa,11,Ineficiente
624,False,6,Comércio,4,Moderado
506,True,14,Apartamento,7,Ineficiente
692,False,8,Casa,5,Moderado
347,True,8,Apartamento,10,Moderado
656,True,16,Comércio,6,Ineficiente
496,False,8,Casa,10,Ineficiente
247,True,4,Apartamento,4,Eficiente
122,True,17,Comércio,2,Moderado
635,True,16,Casa,9,Ineficiente
364,True,9,Apartamento,2,Moderado
476,True,16,Apartamento,2,Ineficiente
91,True,6,Apartamento,2,Eficiente
686,True,15,Casa,1,Ineficiente
381,True,17,Casa,3,Moderado
332,False,14,Apartamento,6,Moderado
578,True,11,Casa,7,Ineficiente
114,False,12,Casa,1,Eficiente
169,False,4,Casa,5,Eficiente
684,True,7,Casa,5,Ineficiente
681,False,16,Comércio,1,Ineficiente
497,False,6,Casa,4,Moderado
194,False,11,Comércio,10,Moderado
696,False,6,Casa,1,Moderado
275,True,10,Apartamento,1,Eficiente
580,False,10,Casa,7,Ineficiente
572,False,8,Apartamento,7,Ineficiente
154,False,8,Apartamento,3,Eficiente
492,True,13,Casa,7,Ineficiente
455,False,10,Comércio,3,Moderado
499,False,14,Casa,2,Ineficiente
356,True,15,Apartamento,10,Ineficiente
473,True,14,Comércio,4,Ineficiente
536,True,12,Comércio,10,Ineficiente
271,False,11,Comércio,3,Eficiente
178,False,17,Casa,7,Moderado
627,False,7,Casa,1,Moderado
175,True,13,Casa,6,Moderado
269,False,3,Apartamento,2,Eficiente
116,True,3,Apartamento,8,Moderado
448,True,17,Casa,5,Moderado
604,False,4,Apartamento,3,Moderado
358,False,12,Casa,10,Moderado
296,False,12,Casa,7,Moderado
352,False,7,Apartamento,11,Moderado
141,True,6,Apartamento,2,Eficiente
675,True,3,Apartamento,5,Ineficiente
421,False,6,Casa,11,Moderado
476,False,6,Apartamento,8,Ineficiente
98,True,12,Casa,11,Moderado
256,True,6,Casa,1,Eficiente
691,True,3,Apartamento,1,Ineficiente
475,False,11,Comércio,3,Ineficiente
524,True,16,Casa,3,Ineficiente
312,True,5,Casa,7,Moderado
155,True,15,Apartamento,6,Moderado
344,True,6,Casa,7,Moderado
534,False,7,Apartamento,4,Moderado
463,True,15,Apartamento,11,Ineficiente
643,False,15,Casa,2,Ineficiente
585,False,9,Apartamento,2,Moderado
446,False,8,Apartamento,10,Moderado
223,True,7,Casa,1,Eficiente
148,False,10,Apartamento,9,Eficiente
178,False,16,Casa,7,Moderado
475,False,3,Apartamento,10,Ineficiente
104,False,9,Casa,3,Eficiente
548,True,14,Apartamento,2,Ineficiente
563,True,8,Casa,3,Ineficiente
644,True,13,Casa,7,Ineficiente
230,True,7,Apartamento,5,Eficiente
223,True,9,Casa,3,Eficiente
648,True,5,Casa,9,Ineficiente
118,True,3,Casa,2,Eficiente
188,True,11,Casa,7,Moderado
121,True,4,Comércio,10,Moderado
265,True,15,Apartamento,6,Moderado
477,True,12,Casa,6,Ineficiente
302,True,17,Apartamento,7,Ineficiente
212,True,5,Apartamento,6,Eficiente
242,True,10,Comércio,2,Eficiente
294,False,14,Casa,11,Moderado
314,True,12,Apartamento,5,Moderado
667,True,11,Apartamento,3,Ineficiente
88,True,15,Apartamento,9,Moderado
153,False,5,Apartamento,8,Eficiente
571,False,8,Casa,10,Ineficiente
332,False,9,Apartamento,11,Moderado
309,False,17,Apartamento,2,Moderado
598,True,3,Comércio,1,Ineficiente
253,True,16,Casa,4,Moderado
247,True,9,Apartamento,4,Eficiente
249,False,6,Comércio,10,Eficiente
472,False,7,Apartamento,11,Ineficiente
273,False,10,Comércio,2,Eficiente
596,True,6,Apartamento,7,Ineficiente
108,False,17,Casa,3,Eficiente
244,True,6,Apartamento,7,Moderado
501,True,10,Casa,7,Ineficiente
418,True,17,Apartamento,1,Moderado
575,False,7,Casa,6,Moderado
444,True,15,Apartamento,4,Moderado
421,False,8,Apartamento,11,Moderado
579,True,14,Casa,8,Ineficiente
590,False,13,Casa,8,Ineficiente
406,True,16,Comércio,3,Ineficiente
296,True,7,Casa,4,Eficiente
380,False,3,Casa,1,Eficiente
211,False,9,Casa,10,Eficiente
149,False,8,Comércio,2,Eficiente
331,False,4,Comércio,7,Moderado
494,False,13,Apartamento,11,Ineficiente
524,True,9,Comércio,7,Ineficiente
261,False,8,Casa,9,Eficiente
246,True,7,Comércio,10,Moderado
170,True,10,Casa,9,Moderado
610,True,7,Casa,9,Ineficiente
118,False,13,Casa,6,Eficiente
205,False,4,Apartamento,8,Eficiente
530,True,8,Apartamento,9,Ineficiente
252,False,16,Casa,7,Moderado
299,False,14,Comércio,4,Eficiente
137,True,3,Casa,4,Eficiente
555,True,7,Casa,6,Ineficiente
535,False,16,Apartamento,11,Ineficiente
440,True,8,Apartamento,4,Moderado
80,False,17,Apartamento,11,Moderado
466,True,9,Apartamento,7,Ineficiente
427,True,16,Apartamento,8,Ineficiente
269,False,4,Casa,8,Eficiente
584,False,3,Apartamento,8,Ineficiente
270,False,8,Comércio,2,Eficiente
587,False,5,Casa,10,Ineficiente
448,False,7,Comércio,2,Eficiente
488,False,14,Apartamento,2,Ineficiente
196,True,17,Casa,2,Moderado
213,True,13,Comércio,4,Moderado
137,True,15,Apartamento,5,Moderado
635,False,17,Casa,4,Ineficiente
252,True,4,Casa,5,Eficiente
228,False,17,Casa,4,Eficiente
159,True,3,Apartamento,7,Moderado
292,False,3,Apartamento,10,Eficiente
282,False,15,Comércio,1,Eficiente
308,True,13,Casa,1,Moderado
306,False,6,Casa,2,Eficiente
611,True,12,Casa,1,Ineficiente
520,True,15,Apartamento,10,Ineficiente
481,False,4,Comércio,10,Ineficiente
126,True,3,Apartamento,11,Moderado
312,False,8,Casa,3,Eficiente
384,True,16,Comércio,6,Ineficiente
605,True,6,Apartamento,10,Ineficiente
222,False,12,Casa,11,Moderado
494,True,15,Apartamento,6,Ineficiente
592,False,14,Casa,1,Ineficiente
452,False,17,Casa,6,Ineficiente
645,True,9,Casa,5,Ineficiente
338,True,13,Apartamento,7,Ineficiente
550,True,8,Casa,6,Ineficiente
91,True,7,Casa,7,Moderado
409,True,12,Casa,2,Moderado
437,True,14,Apartamento,1,Moderado
487,True,15,Comércio,7,Ineficiente
452,True,14,Apartamento,9,Ineficiente
87,False,14,Casa,2,Eficiente
201,False,14,Casa,7,Moderado
427,False,4,Casa,3,Eficiente
169,True,7,Casa,6,Eficiente
395,False,11,Apartamento,3,Moderado
257,True,11,Apartamento,10,Moderado
619,False,4,Apartamento,11,Ineficiente
120,False,9,Apartamento,11,Eficiente
581,True,12,Casa,11,Ineficiente
224,False,16,Casa,5,Eficiente
280,False,6,Apartamento,2,Eficiente
540,False,15,Casa,8,Ineficiente
637,False,15,Casa,8,Ineficiente
626,True,5,Casa,7,Ineficiente
332,True,13,Casa,6,Moderado
469,True,3,Casa,1,Ineficiente
673,False,5,Apartamento,8,Ineficiente
335,True,13,Comércio,1,Ineficiente
529,False,11,Casa,8,Ineficiente
89,True,16,Casa,11,Moderado
321,True,17,Apartamento,2,Moderado
330,True,11,Casa,8,Ineficiente
84,False,9,Casa,10,Eficiente
198,True,5,Casa,4,Eficiente
453,True,15,Casa,7,Ineficiente
144,True,5,Apartamento,5,Eficiente
225,True,6,Apartamento,8,Moderado
303,True,9,Casa,6,Moderado
318,False,9,Casa,5,Eficiente
256,True,14,Casa,1,Moderado
361,True,14,Casa,3,Moderado
142,False,16,Comércio,10,Moderado
296,False,4,Apartamento,9,Eficiente
540,False,14,Apartamento,9,Ineficiente
689,True,17,Apartamento,5,Ineficiente
184,False,7,Apartamento,3,Eficiente
178,False,9,Apartamento,6,Eficiente
590,False,9,Casa,5,Moderado
464,True,8,Casa,1,Ineficiente
484,False,12,Apartamento,2,Ineficiente
597,False,12,Casa,5,Ineficiente
555,True,14,Comércio,9,Ineficiente
516,True,10,Apartamento,4,Ineficiente
102,False,5,Comércio,9,Eficiente
644,False,17,Casa,3,Ineficiente
537,True,3,Comércio,1,Ineficiente
162,False,5,Casa,6,Eficiente
224,True,13,Comércio,10,Ineficiente
164,True,4,Casa,7,Moderado
157,False,4,Apartamento,4,Eficiente
536,True,16,Apartamento,10,Ineficiente
80,True,16,Casa,5,Moderado
130,False,4,Apartamento,4,Eficiente
525,True,7,Comércio,3,Ineficiente
528,True,15,Casa,1,Ineficiente
567,False,3,Apartamento,6,Moderado
113,False,12,Casa,10,Moderado
427,False,6,Apartamento,5,Eficiente
174,False,16,Apartamento,11,Moderado
151,True,12,Casa,1,Moderado
630,False,7,Casa,5,Moderado
233,True,4,Apartamento,6,Eficiente
329,False,7,Casa,10,Moderado
517,True,12,Casa,5,Ineficiente
197,False,17,Apartamento,1,Eficiente
385,True,6,Casa,5,Moderado
347,True,10,Casa,10,Moderado
133,False,3,Apartamento,1,Eficiente
315,False,17,Casa,11,Moderado
468,False,14,Casa,3,Ineficiente
480,True,7,Casa,2,Ineficiente
382,True,16,Apartamento,1,Moderado
286,False,16,Apartamento,4,Eficiente
308,False,13,Apartamento,2,Moderado
657,False,14,Casa,5,Ineficiente
154,False,12,Casa,10,Moderado
514,False,3,Casa,1,Moderado
182,False,12,Casa,10,Moderado
501,False,12,Comércio,1,Ineficiente
385,False,6,Casa,11,Moderado
177,False,10,Casa,10,Eficiente
414,False,3,Casa,4,Eficiente
514,False,13,Apartamento,7,Ineficiente
526,False,17,Apartamento,2,Ineficiente
387,True,4,Apartamento,2,Moderado
328,True,3,Comércio,1,Moderado
245,False,13,Apartamento,5,Eficiente
560,False,9,Casa,6,Moderado
414,False,4,Casa,6,Eficiente
621,False,3,Apartamento,2,Moderado
185,False,17,Apartamento,7,Moderado
642,True,14,Apartamento,6,Ineficiente
160,False,8,Apartamento,8,Eficiente
212,False,8,Apartamento,6,Eficiente
217,True,12,Comércio,9,Ineficiente
263,True,4,Apartamento,10,Moderado
480,True,17,Apartamento,2,Ineficiente
409,True,3,Casa,7,Moderado
587,True,16,Apartamento,5,Ineficiente
148,True,12,Comércio,1,Moderado
625,True,5,Casa,3,Ineficiente
132,True,12,Apartamento,4,Moderado
529,True,16,Apartamento,2,Ineficiente
284,False,7,Casa,7,Eficiente
205,False,8,Apartamento,1,Eficiente
122,False,5,Casa,3,Eficiente
190,True,11,Comércio,9,Ineficiente
262,True,13,Apartamento,11,Moderado
174,True,7,Casa,2,Eficiente
453,True,15,Casa,5,Ineficiente
599,True,4,Apartamento,4,Ineficiente
439,True,12,Casa,3,Moderado
360,True,8,Casa,5,Moderado
274,False,14,Apartamento,6,Eficiente
274,True,10,Casa,1,Eficiente
172,True,13,Casa,2,Moderado
140,False,8,Apartamento,1,Eficiente
130,True,6,Comércio,3,Eficiente
482,True,8,Apartamento,8,Ineficiente
84,False,10,Apartamento,8,Eficiente
545,False,10,Casa,4,Moderado
683,False,15,Casa,6,Ineficiente
613,True,12,Casa,9,Ineficiente
484,True,4,Apartamento,7,Ineficiente
592,True,10,Comércio,2,Ineficiente
312,True,8,Apartamento,11,Moderado
603,False,4,Comércio,2,Moderado
425,False,3,Apartamento,3,Eficiente
125,True,8,Casa,8,Moderado
625,False,15,Casa,10,Ineficiente
157,True,9,Casa,9,Moderado
152,False,16,Casa,3,Eficiente
328,True,16,Apartamento,9,Ineficiente
126,True,12,Casa,10,Moderado
200,True,7,Apartamento,8,Moderado
293,False,16,Apartamento,5,Eficiente
318,False,12,Casa,11,Moderado
135,True,10,Apartamento,10,Moderado
429,True,13,Apartamento,3,Moderado
186,True,15,Casa,11,Moderado
127,True,14,Apartamento,7,Moderado
652,False,11,Apartamento,9,Ineficiente
416,True,6,Apartamento,6,Moderado
105,True,9,Comércio,3,Eficiente
336,False,10,Comércio,5,Eficiente
87,True,15,Comércio,7,Ineficiente
332,False,8,Casa,8,Moderado
382,False,4,Casa,4,Eficiente
135,True,9,Casa,2,Eficiente
605,False,15,Casa,10,Ineficiente
553,False,11,Comércio,2,Ineficiente
107,True,7,Apartamento,3,Eficiente
157,True,17,Casa,8,Moderado
295,True,4,Casa,1,Eficiente
465,False,6,Casa,7,Ineficiente
444,False,5,Apartamento,6,Eficiente
605,False,6,Apartamento,2,Moderado
391,False,12,Comércio,9,Ineficiente
